"idDuplaDessorcaoAgua";"idCampanha";"idSitio";"dataMedida";"horaMedida";"profundidade";"CO2";"O2";"N2";"CH4";"N2O"
"1";"201";"2013";"2006-11-21";"10:15:00";"0";"57";\N;\N;"0.0469999984";"0.0041"
"2";"201";"2013";"2006-11-21";"10:18:00";"0.5";"67";\N;\N;"0.0648000017";"0.0038999999"
"3";"201";"2013";"2006-11-21";"10:21:00";"1";"101";\N;\N;"0.1534000039";"0.0038999999"
"4";"201";"2013";"2006-11-21";"10:24:00";"2";"87";\N;\N;"0.0777999982";"0.0052"
"5";"201";"2013";"2006-11-21";"10:27:00";"3";"40";\N;\N;"0.0643000007";"0.0024000001"
"6";"201";"2013";"2006-11-21";"10:30:00";"4";"54";\N;\N;"0.0601000004";"0.0044999998"
"7";"201";"2013";"2006-11-21";"10:33:00";"5";"72";\N;\N;"0.0719000027";"0.0027000001"
"8";"201";"2013";"2006-11-21";"10:36:00";"6";"16";\N;\N;"0.0846000016";"0.0331999995"
"9";"201";"2013";"2006-11-21";"10:40:00";"7";"95";\N;\N;"0.0649999976";"0.0092000002"
"10";"201";"2014";"2006-11-21";"15:00:00";"0";"2";\N;\N;"0.0665000007";"0.0100999996"
"11";"201";"2014";"2006-11-21";"15:01:00";"1";"2";\N;\N;"0.0643000007";"0.0074"
"12";"201";"2014";"2006-11-21";"15:03:00";"2";"1";\N;\N;"0.0680999979";"0.0071"
"13";"201";"2014";"2006-11-21";"15:05:00";"3";"1";\N;\N;"0.0584999993";"0.0057000001"
"14";"201";"2014";"2006-11-21";"15:07:00";"4";"4";\N;\N;"0.064000003";"0.0046999999"
"15";"201";"2014";"2006-11-21";"15:09:00";"5";"11";\N;\N;"0.0590000004";"0.0066999998"
"16";"201";"2014";"2006-11-21";"15:11:00";"10";"82";\N;\N;"0.0693000033";"0.0088"
"17";"201";"2014";"2006-11-21";"15:13:00";"15";"64";\N;\N;"0.0667999983";"0.0082999999"
"18";"201";"2014";"2006-11-21";"15:16:00";"20";"102";\N;\N;"0.068400003";"0.0148"
"19";"201";"2014";"2006-11-21";"15:20:00";"25";"231";\N;\N;"0.0971999988";"0.0102000004"
"20";"201";"2014";"2006-11-21";"15:24:00";"30";"150";\N;\N;"0.0675999969";"0.0219999999"
"21";"201";"2014";"2006-11-21";"15:28:00";"35";"236";\N;\N;"0.1032999977";"0.0155999996"
"22";"201";"2014";"2006-11-21";"15:34:00";"39";"184";\N;\N;"0.0617999993";"0.050999999"
"23";"201";"2015";"2006-11-21";"16:10:00";"0";"3";\N;\N;"0.0571000017";"0.0046000001"
"24";"201";"2015";"2006-11-21";"16:12:00";"0.5";"5";\N;\N;"0.065200001";"0.0055"
"25";"201";"2015";"2006-11-21";"16:14:00";"1";"1";\N;\N;"0.0644999966";"0.0087000001"
"26";"201";"2015";"2006-11-21";"16:16:00";"2";"1";\N;\N;"0.067400001";"0.0081000002"
"27";"201";"2015";"2006-11-21";"16:18:00";"3";"2";\N;\N;"0.0627000034";"0.0077999998"
"28";"201";"2015";"2006-11-21";"16:20:00";"4";"4";\N;\N;"0.0702999979";"0.0094999997"
"29";"201";"2015";"2006-11-21";"16:22:00";"5";"3";\N;\N;"0.059799999";"0.0049999999"
"30";"201";"2015";"2006-11-21";"16:25:00";"10";"37";\N;\N;"0.0625";"0.0052"
"31";"201";"2015";"2006-11-21";"16:30:00";"20";"65";\N;\N;"0.0656000003";"0.0828000009"
"32";"201";"2015";"2006-11-21";"16:35:00";"30";"224";\N;\N;"0.0612999983";"0.0612000003"
"33";"201";"2015";"2006-11-21";"16:40:00";"40";"284";\N;\N;"0.0675000027";"0.0194000006"
"34";"201";"2016";"2006-11-22";"09:12:00";"0";"2";\N;\N;"0.0776000023";"0.0055"
"35";"201";"2016";"2006-11-22";"09:13:00";"0.5";\N;\N;\N;\N;\N
"36";"201";"2016";"2006-11-22";"09:14:00";"1";"6";\N;\N;"0.0838999972";"0.0181000009"
"37";"201";"2016";"2006-11-22";"09:15:00";"2";"1";\N;\N;"0.1081999987";"0.0055999998"
"38";"201";"2016";"2006-11-22";"09:16:00";"3";"2";\N;\N;"0.0763999969";"0.0331000015"
"39";"201";"2016";"2006-11-22";"09:18:00";"4";"7";\N;\N;"0.0856999978";"0.0041999999"
"40";"201";"2016";"2006-11-22";"09:20:00";"5";"40";\N;\N;"0.1079000011";"0.0121999998"
"41";"201";"2016";"2006-11-22";"09:23:00";"10";"110";\N;\N;"0.0834000036";"0.0269000009"
"42";"201";"2016";"2006-11-22";"09:26:00";"15";"43";\N;\N;"0.137500003";"0.0092000002"
"43";"201";"2016";"2006-11-22";"09:29:00";"20";"106";\N;\N;"0.1008000001";"0.0364000015"
"44";"201";"2016";"2006-11-22";"09:31:00";"30";"103";\N;\N;"0.3134000003";"0.0234999992"
"45";"201";"2016";"2006-11-22";"09:33:00";"40";"203";\N;\N;"0.0931999981";"0.0221999995"
"46";"201";"2016";"2006-11-22";"09:35:00";"50";"196";\N;\N;"0.2035000026";"0.0228000004"
"47";"203";"2036";"2007-03-27";"12:07:00";"0";"24";\N;\N;"0.1067999974";"0.0241"
"48";"203";"2036";"2007-03-27";"12:09:00";"2";"33";\N;\N;"0.1274999976";"0.0277999993"
"49";"203";"2036";"2007-03-27";"12:11:00";"4";"65";\N;\N;"0.1216999963";"0.0373999998"
"50";"203";"2036";"2007-03-27";"12:13:00";"6";"63";\N;\N;"0.1974000037";"0.0318999998"
"51";"203";"2036";"2007-03-27";"12:15:00";"8";"84";\N;\N;"0.1512999982";"0.0300999992"
"52";"203";"2036";"2007-03-27";"12:17:00";"10";"94";\N;\N;"0.3080999851";"0.0273000002"
"53";"203";"2036";"2007-03-27";"12:20:00";"15";"78";\N;\N;"0.5182999969";"0.0406000018"
"54";"203";"2036";"2007-03-27";"12:22:00";"20";"221";\N;\N;"0.9555000067";"0.0333000012"
"55";"203";"2036";"2007-03-27";"12:25:00";"25";"122";\N;\N;"0.7210999727";"0.0456999987"
"56";"203";"2036";"2007-03-27";"12:27:00";"28.399999619";"128";\N;\N;"1.6667000055";"0.0533000007"
"57";"203";"2037";"2007-03-28";"09:35:00";"0";"17";\N;\N;"0.0786999986";"0.0219000001"
"58";"203";"2037";"2007-03-28";"09:37:00";"5";"51";\N;\N;"0.0776000023";"0.0247000009"
"59";"203";"2037";"2007-03-28";"09:40:00";"10";"146";\N;\N;"0.0838000029";"0.0463000014"
"60";"203";"2037";"2007-03-28";"09:43:00";"15";"213";\N;\N;"0.0614";"0.0669"
"61";"203";"2037";"2007-03-28";"09:46:00";"20";"244";\N;\N;"0.0733999982";"0.0807000026"
"62";"203";"2037";"2007-03-28";"09:50:00";"25";"253";\N;\N;"0.0790999979";"0.0747999996"
"63";"203";"2037";"2007-03-28";"09:55:00";"30";"126";\N;\N;"0.0732000023";"0.0588999987"
"64";"203";"2037";"2007-03-28";"10:00:00";"35";"115";\N;\N;"1.7157000303";"0.0754999965"
"65";"203";"2037";"2007-03-28";"10:05:00";"40";"149";\N;\N;"0.0760999992";"0.0848999992"
"66";"203";"2037";"2007-03-28";"10:10:00";"45";"142";\N;\N;"0.0702000037";"0.0942000002"
"67";"203";"2037";"2007-03-28";"10:15:00";"50";"132";\N;\N;"0.1295000017";"0.1275999993"
"68";"203";"2038";"2007-03-28";"10:33:00";"0";"33";\N;\N;"0.0804999992";"0.0219999999"
"69";"203";"2038";"2007-03-28";"10:35:00";"2";"48";\N;\N;"0.0904999971";"0.0337999985"
"70";"203";"2038";"2007-03-28";"10:37:00";"4";"103";\N;\N;"0.0874999985";"0.0370999984"
"71";"203";"2038";"2007-03-28";"10:39:00";"6";"119";\N;\N;"0.0784000009";"0.0300999992"
"72";"203";"2038";"2007-03-28";"10:42:00";"8";"164";\N;\N;"0.0632999986";"0.0428999998"
"73";"203";"2038";"2007-03-28";"10:45:00";"10";"197";\N;\N;"0.0595999993";"0.0505999997"
"74";"203";"2038";"2007-03-28";"10:48:00";"15";"172";\N;\N;"1.0414999723";"0.0656000003"
"75";"203";"2038";"2007-03-28";"10:51:00";"20";"240";\N;\N;"29.605899811";"0.0851999968"
"76";"203";"2038";"2007-03-28";"10:54:00";"22";"163";\N;\N;"18.962900162";"0.2919000089"
"77";"205";"2036";"2007-07-24";"09:35:00";"0";"38";\N;\N;"0.2671999931";"0.0297999997"
"78";"205";"2036";"2007-07-24";"09:37:00";"2";"33";\N;\N;"0.2967999876";"0.0305000003"
"79";"205";"2036";"2007-07-24";"09:40:00";"4";"30";\N;\N;"0.3183000088";"0.0282000005"
"80";"205";"2036";"2007-07-24";"09:42:00";"6";"70";\N;\N;"0.8122000098";"0.0362999998"
"81";"205";"2036";"2007-07-24";"09:45:00";"10";"106";\N;\N;"1.129799962";"0.0419999994"
"82";"205";"2036";"2007-07-24";"09:48:00";"12";"104";\N;\N;"0.8406000137";"0.0434000008"
"83";"205";"2036";"2007-07-24";"09:51:00";"14";"103";\N;\N;"0.703700006";"0.0467999987"
"84";"205";"2036";"2007-07-24";"09:54:00";"16";"111";\N;\N;"4.4130001068";"0.0416000001"
"85";"205";"2036";"2007-07-24";"09:57:00";"20";"130";\N;\N;"0.810199976";"0.0593000017"
"86";"205";"2036";"2007-07-24";"10:00:00";"23";"128";\N;\N;"0.7473000288";"0.0666999966"
"87";"205";"2048";"2007-07-24";"12:35:00";"0";\N;\N;\N;\N;\N
"88";"205";"2048";"2007-07-24";"12:37:00";"5";"87";\N;\N;"0.0337999985";"0.0410000011"
"89";"205";"2048";"2007-07-24";"12:39:00";"10";"82";\N;\N;"0.0293000005";"0.0447999984"
"90";"205";"2048";"2007-07-24";"12:41:00";"15";"139";\N;\N;"0.0270000007";"0.0621000007"
"91";"205";"2048";"2007-07-24";"12:44:00";"20";"135";\N;\N;"0.0342000015";"0.0511000007"
"92";"205";"2048";"2007-07-24";"12:47:00";"25";"125";\N;\N;"1.1897000074";"0.0551999994"
"93";"205";"2048";"2007-07-24";"12:50:00";"30";"138";\N;\N;"0.1036999971";"0.057599999"
"94";"205";"2048";"2007-07-24";"12:55:00";"35";"121";\N;\N;"0.1055999994";"0.059700001"
"95";"205";"2048";"2007-07-24";"13:05:00";"41";"134";\N;\N;"0.1930000037";"0.0601999983"
"96";"205";"2048";"2007-07-25";"10:40:00";"0";"30";\N;\N;"0.0244999994";"0.0390000008"
"97";"205";"2048";"2007-07-25";"10:42:00";"5";"75";\N;\N;"0.0185000002";"0.0425999984"
"98";"205";"2048";"2007-07-25";"10:44:00";"10";"79";\N;\N;"0.0197000001";"0.0443000011"
"99";"205";"2048";"2007-07-25";"10:47:00";"15";"131";\N;\N;"0.0103000002";"0.0548"
"100";"205";"2048";"2007-07-25";"10:50:00";"20";"105";\N;\N;"0.0133999996";"0.0447999984"
"101";"205";"2048";"2007-07-25";"10:53:00";"25";"116";\N;\N;"0.0189999994";"0.0513000004"
"102";"205";"2048";"2007-07-25";"10:56:00";"30";"122";\N;\N;"0.0428000018";"0.0527000017"
"103";"205";"2048";"2007-07-25";"10:59:00";"35";"120";\N;\N;"0.077200003";"0.0566999987"
"104";"205";"2048";"2007-07-25";"11:05:00";"40";"122";\N;\N;"0.1253000051";"0.0571999997"
"105";"1011";"10132";"2006-11-29";"09:30:00";"0";"19";\N;\N;"0.3849999905";"0.0080000004"
"106";"1011";"10132";"2006-11-29";"09:32:00";"0.5";"29";\N;\N;"0.3680000007";"0.0065000001"
"107";"1011";"10132";"2006-11-29";"09:34:00";"1";"24";\N;\N;"0.3810000122";"0.0109999999"
"108";"1011";"10132";"2006-11-29";"09:36:00";"2";"55";\N;\N;"0.3799999952";"0.0114000002"
"109";"1011";"10132";"2006-11-29";"09:38:00";"3";"47";\N;\N;"0.3799999952";"0.0054000001"
"110";"1011";"10132";"2006-11-29";"09:40:00";"4";"31";\N;\N;"0.3829999864";"0.0046000001"
"111";"1011";"10132";"2006-11-29";"09:42:00";"5";"53";\N;\N;"0.4040000141";"0.0078999996"
"112";"1011";"10132";"2006-11-29";"09:45:00";"10";"227";\N;\N;"0.5669999719";"0.0104999999"
"113";"1011";"10132";"2006-11-29";"09:48:00";"15";"342";\N;\N;"71.430000305";"0.0037"
"114";"1011";"10132";"2006-11-29";"09:52:00";"20";"408";\N;\N;"111.1210022";"0.0023000001"
"115";"1011";"10132";"2006-11-29";"09:55:00";"25";"541";\N;\N;"230.07600403";"0.0033"
"116";"1011";"10132";"2006-11-29";"09:58:00";"30";"409";\N;\N;"222.47999573";"0.0029"
"117";"1011";"10132";"2006-11-29";"10:02:00";"35";"409";\N;\N;"252.7749939";"0.0026"
"118";"1011";"10132";"2006-11-29";"10:10:00";"40";"518";\N;\N;"213.47999573";"0.0026"
"119";"1011";"10132";"2006-11-29";"10:15:00";"45";"460";\N;\N;"248.02000427";"0.0020000001"
"120";"1011";"10132";"2006-11-29";"10:20:00";"49";"494";\N;\N;"286.95800781";"0.0024000001"
"121";"1011";"10133";"2006-11-29";"11:55:00";"0";"33";\N;\N;"1.628000021";"0.0142000001"
"122";"1011";"10133";"2006-11-29";"11:57:00";"0.5";"56";\N;\N;"1.3470000029";"0.0049999999"
"123";"1011";"10133";"2006-11-29";"11:59:00";"1";"44";\N;\N;"1.2050000429";"0.0060999999"
"124";"1011";"10133";"2006-11-29";"12:01:00";"2";"66";\N;\N;"1.0379999876";"0.0265999995"
"125";"1011";"10133";"2006-11-29";"12:03:00";"3";"59";\N;\N;"0.7799999714";"0.0059000002"
"126";"1011";"10133";"2006-11-29";"12:05:00";"4";"35";\N;\N;"0.7080000043";"0.0066"
"127";"1011";"10133";"2006-11-29";"12:07:00";"5";"80";\N;\N;"0.69599998";"0.0099999998"
"128";"1011";"10133";"2006-11-29";"12:09:00";"10";"215";\N;\N;"0.574000001";"0.0052999998"
"129";"1011";"10133";"2006-11-29";"12:11:00";"15";"265";\N;\N;"6.7109999657";"0.0092000002"
"130";"1011";"10133";"2006-11-29";"12:13:00";"20";"282";\N;\N;"23.475999832";"0.0038999999"
"131";"1011";"10133";"2006-11-29";"12:16:00";"25";"261";\N;\N;"73.228996277";"0.0049999999"
"132";"1011";"10133";"2006-11-29";"12:20:00";"30";"460";\N;\N;"193.42900085";"0.0035000001"
"133";"1011";"10134";"2006-11-29";"16:45:00";"0";"34";\N;\N;"1.5820000172";"0.0071"
"134";"1011";"10134";"2006-11-29";"16:47:00";"0.5";"39";\N;\N;"0.7639999986";"0.0094999997"
"135";"1011";"10134";"2006-11-29";"16:50:00";"1";"20";\N;\N;"0.6800000072";"0.0140000004"
"136";"1011";"10134";"2006-11-29";"16:52:00";"2";"19";\N;\N;"0.5099999905";"0.0105999997"
"137";"1011";"10134";"2006-11-29";"16:54:00";"3";"25";\N;\N;"1.5349999666";"0.0124000004"
"138";"1011";"10134";"2006-11-29";"16:56:00";"4";"30";\N;\N;"0.7289999723";"0.0122999996"
"139";"1011";"10134";"2006-11-29";"17:00:00";"5";"23";\N;\N;"0.8560000062";"0.0092000002"
"140";"1011";"10134";"2006-11-29";"17:04:00";"10";"121";\N;\N;"0.8590000272";"0.0026"
"141";"1011";"10134";"2006-11-29";"17:08:00";"15";"296";\N;\N;"130.38999939";"0.0044"
"142";"1011";"10134";"2006-11-29";"17:12:00";"20";"319";\N;\N;"204.65699768";"0.0044"
"143";"1011";"10134";"2006-11-29";"17:15:00";"21";"393";\N;\N;"215.6519928";"0.0252999999"
"144";"1011";"10132";"2006-11-30";"09:11:00";"0";"22";\N;\N;"0.6930000186";"0.0088999998"
"145";"1011";"10132";"2006-11-30";"09:14:00";"0.5";"25";\N;\N;"0.4210000038";"0.0082"
"146";"1011";"10132";"2006-11-30";"09:17:00";"1";"52";\N;\N;"1.7749999762";"0.0104999999"
"147";"1011";"10132";"2006-11-30";"09:19:00";"2";"41";\N;\N;"0.4149999917";"0.0098000001"
"148";"1011";"10132";"2006-11-30";"09:21:00";"3";"24";\N;\N;"7.4640002251";"0.0412000008"
"149";"1011";"10132";"2006-11-30";"09:23:00";"4";"22";\N;\N;"6.5510001183";"0.0054000001"
"150";"1011";"10132";"2006-11-30";"09:25:00";"5";"22";\N;\N;"0.4530000091";"0.0063999998"
"151";"1011";"10132";"2006-11-30";"09:27:00";"10";"182";\N;\N;"0.5320000052";"0.0088999998"
"152";"1011";"10132";"2006-11-30";"09:30:00";"15";"254";\N;\N;"62.098999023";"0.0055999998"
"153";"1011";"10132";"2006-11-30";"09:34:00";"20";"250";\N;\N;"100.67299652";"0.0054000001"
"154";"1011";"10132";"2006-11-30";"09:37:00";"25";"390";\N;\N;"191.47799683";"0.0041999999"
"155";"1011";"10132";"2006-11-30";"09:40:00";"30";"404";\N;\N;"238";"0.0046999999"
"156";"1011";"10132";"2006-11-30";"09:43:00";"35";"412";\N;\N;"214.17500305";"0.0033"
"157";"1011";"10132";"2006-11-30";"09:46:00";"40";"447";\N;\N;"266.62399292";"0.0060999999"
"158";"1011";"10132";"2006-11-30";"09:49:00";"45";"452";\N;\N;"257.73599243";"0.0034"
"159";"1011";"10132";"2006-11-30";"09:52:00";"49";"528";\N;\N;"397.05099487";"0.0044"
"160";"1013";"10150";"2007-03-20";"09:44:00";"0";"29";\N;\N;"0.2736000121";\N
"161";"1013";"10150";"2007-03-20";"09:46:00";"2";"23";\N;\N;"0.2709999979";\N
"162";"1013";"10150";"2007-03-20";"09:48:00";"4";"39";\N;\N;"0.2732000053";\N
"163";"1013";"10150";"2007-03-20";"09:50:00";"6";"45";\N;\N;"0.279399991";\N
"164";"1013";"10150";"2007-03-20";"09:52:00";"8";"57";\N;\N;"0.2815000117";\N
"165";"1013";"10150";"2007-03-20";"09:54:00";"10";"189";\N;\N;"0.2759000063";\N
"166";"1013";"10150";"2007-03-20";"09:56:00";"15";"336";\N;\N;"7.9878997803";\N
"167";"1013";"10150";"2007-03-20";"09:58:00";"20";"383";\N;\N;"131.29800415";\N
"168";"1013";"10150";"2007-03-20";"10:00:00";"25";"389";\N;\N;"208.41799927";\N
"169";"1013";"10150";"2007-03-20";"10:05:00";"30";"385";\N;\N;"287.16799927";\N
"170";"1013";"10150";"2007-03-20";"10:10:00";"35";"440";\N;\N;"314.24200439";\N
"171";"1013";"10150";"2007-03-20";"10:15:00";"40";"364";\N;\N;"346.86499023";\N
"172";"1013";"10150";"2007-03-20";"10:20:00";"42";"481";\N;\N;"464.80599976";\N
"173";"1013";"10133";"2007-03-21";"10:15:00";"0";"30";\N;\N;"0.2060000002";\N
"174";"1013";"10133";"2007-03-21";"10:17:00";"2";"49";\N;\N;"0.2202000022";\N
"175";"1013";"10133";"2007-03-21";"10:19:00";"4";"84";\N;\N;"0.2099000067";\N
"176";"1013";"10133";"2007-03-21";"10:21:00";"6";"88";\N;\N;"0.1746000051";\N
"177";"1013";"10133";"2007-03-21";"10:23:00";"8";"52";\N;\N;"0.2088000029";\N
"178";"1013";"10133";"2007-03-21";"10:25:00";"10";"119";\N;\N;"0.2184000015";\N
"179";"1013";"10133";"2007-03-21";"10:30:00";"15";"232";\N;\N;"19.357099533";\N
"180";"1013";"10133";"2007-03-21";"10:35:00";"20";"347";\N;\N;"113.81600189";\N
"181";"1013";"10133";"2007-03-21";"10:40:00";"25";"537";\N;\N;"128.15899658";\N
"182";"1013";"10133";"2007-03-21";"10:45:00";"30";"432";\N;\N;"328.22900391";\N
"183";"1013";"10133";"2007-03-21";"10:50:00";"36";"319";\N;\N;"395.50799561";\N
"184";"1013";"10151";"2007-03-20";"15:50:00";"0";"40";\N;\N;"2.2832000256";\N
"185";"1013";"10151";"2007-03-20";"15:52:00";"2";"29";\N;\N;"1.168200016";\N
"186";"1013";"10151";"2007-03-20";"15:55:00";"4";"46";\N;\N;"0.9731000066";\N
"187";"1013";"10151";"2007-03-20";"16:00:00";"6";"54";\N;\N;"0.9060000181";\N
"188";"1013";"10151";"2007-03-20";"16:05:00";"8";"419";\N;\N;"1.0160000324";\N
"189";"1013";"10151";"2007-03-20";"16:10:00";"10";"499";\N;\N;"1.266299963";\N
"190";"1013";"10151";"2007-03-20";"16:15:00";"12";"338";\N;\N;"1.5188000202";\N
"191";"1013";"10151";"2007-03-20";"16:20:00";"14";"288";\N;\N;"11.779700279";\N
"192";"1013";"10151";"2007-03-20";"16:25:00";"17";"315";\N;\N;"50.103000641";\N
"193";"1015";"10165";"2007-07-18";"09:45:00";"0";"158";\N;\N;"2.4100000858";"0.0194000006"
"194";"1015";"10165";"2007-07-18";"09:47:00";"1";"171";\N;\N;"0.0939999968";"0.0190999992"
"195";"1015";"10165";"2007-07-18";"09:49:00";"2";"172";\N;\N;"0.0949999988";"0.0203000009"
"196";"1015";"10165";"2007-07-18";"09:51:00";"4";"174";\N;\N;"0.0839999989";"0.0203000009"
"197";"1015";"10165";"2007-07-18";"09:53:00";"6";"176";\N;\N;"0.075000003";"0.0198999997"
"198";"1015";"10165";"2007-07-18";"09:55:00";"8";"166";\N;\N;"0.0250000004";"0.0208999999"
"199";"1015";"10165";"2007-07-18";"09:57:00";"10";"188";\N;\N;"0.0780000016";"0.0208000001"
"200";"1015";"10165";"2007-07-18";"09:59:00";"12";"182";\N;\N;"0.0710000023";"0.0214000009"
"201";"1015";"10165";"2007-07-18";"10:00:00";"14";"194";\N;\N;"0.0680000037";"0.0219999999"
"202";"1015";"10165";"2007-07-18";"10:03:00";"16";"212";\N;\N;"0.0710000023";"0.0227000006"
"203";"1015";"10165";"2007-07-18";"10:06:00";"20";"215";\N;\N;"0.075000003";"0.0254999995"
"204";"1015";"10165";"2007-07-18";"10:09:00";"25";"279";\N;\N;"0.423999995";"0.0271000005"
"205";"1015";"10165";"2007-07-18";"10:12:00";"30";"507";\N;\N;"171.22900391";"0.0113000004"
"206";"1015";"10165";"2007-07-18";"10:15:00";"35";"531";\N;\N;"386.83700562";"0.0111999996"
"207";"1015";"10165";"2007-07-18";"10:20:00";"40";"564";\N;\N;"322.22799683";"0.0085000005"
"208";"1015";"10187";"2007-07-18";"16:20:00";"0";"64";\N;\N;"0.3474999964";"0.0154999997"
"209";"1015";"10187";"2007-07-18";"16:23:00";"5";"184";\N;\N;"0.5755000114";"0.0163000003"
"210";"1015";"10187";"2007-07-18";"16:27:00";"10";"213";\N;\N;"0.4550000131";"0.0185000002"
"211";"1015";"10187";"2007-07-18";"16:30:00";"15";"216";\N;\N;"3.5287001133";"0.0188999996"
"212";"1015";"10187";"2007-07-18";"16:35:00";"19";"265";\N;\N;"1.7243000269";"0.0177999996"
"213";"1015";"10188";"2007-07-17";"14:55:00";"0";"105";\N;\N;"0.0209999997";"0.0190999992"
"214";"1015";"10188";"2007-07-17";"14:57:00";"1";"193";\N;\N;"2.5020000935";"0.0198999997"
"215";"1015";"10188";"2007-07-17";"14:59:00";"2";"165";\N;\N;"1.6890000105";"0.0200999994"
"216";"1015";"10188";"2007-07-17";"15:01:00";"4";"172";\N;\N;"1.4069999456";"0.0212999992"
"217";"1015";"10188";"2007-07-17";"15:03:00";"6";"162";\N;\N;"1.07099998";"0.0219999999"
"218";"1015";"10188";"2007-07-17";"15:07:00";"8";"148";\N;\N;"1.0930000544";"0.0211999994"
"219";"1015";"10188";"2007-07-17";"15:10:00";"10";"161";\N;\N;"1.2710000277";"0.0225000009"
"220";"1015";"10188";"2007-07-17";"15:13:00";"12";"192";\N;\N;"1.4630000591";"0.0253999997"
"221";"1015";"10188";"2007-07-17";"15:16:00";"14";"201";\N;\N;"1.8799999952";"0.0340000018"
"222";"1015";"10188";"2007-07-17";"15:19:00";"16";"213";\N;\N;"2.5009999275";"0.0645999983"
"223";"1015";"10188";"2007-07-17";"15:22:00";"20";"242";\N;\N;"47.020000458";"0.0394000001"
"224";"1015";"10188";"2007-07-17";"15:25:00";"24";"321";\N;\N;"119.08000183";"0.0167999994"
"225";"1015";"10188";"2007-07-17";"15:21:00";"26";"353";\N;\N;"165.29600525";"0.0126999998"
"226";"1015";"10188";"2007-07-17";"15:24:00";"28";"349";\N;\N;"141.95300293";"0.0122999996"
"227";"1015";"10188";"2007-07-17";"15:27:00";"30";"408";\N;\N;"149.0019989";"0.0103000002"
"228";"1015";"10188";"2007-07-17";"15:30:00";"32";"366";\N;\N;"196.49200439";"0.0160000008"
"229";"1204";"12146";"2005-03-19";\N;"0";"15.869999886";\N;\N;"0.0724999979";\N
"230";"1204";"12146";"2005-03-19";\N;"2";"20.25";\N;\N;"0.0713";\N
"231";"1204";"12146";"2005-03-19";\N;"15";"77.529998779";\N;\N;"0.0621999986";\N
"232";"1204";"12146";"2005-03-19";\N;"30";"161.97000122";\N;\N;"0.0176999997";\N
"233";"1204";"12146";"2005-03-19";\N;"0";"9.6899995804";\N;\N;"0.0766000003";\N
"234";"1204";"12146";"2005-03-19";\N;"2";"22.340000153";\N;\N;"0.0678000003";\N
"235";"1204";"12147";"2005-03-19";\N;"0";"9.5699996948";\N;\N;"0.0439000018";\N
"236";"1204";"12147";"2005-03-19";\N;"5";"10.06000042";\N;\N;"0.0406000018";\N
"237";"1204";"12147";"2005-03-19";\N;"10";"12.409999847";\N;\N;"0.0452000014";\N
"238";"1204";"12147";"2005-03-19";\N;"15";"19.319999695";\N;\N;"0.0450999998";\N
"239";"1204";"12147";"2005-03-19";\N;"20";"211.97999573";\N;\N;"0.0236000009";\N
"240";"1204";"12147";"2005-03-19";\N;"25";"246.8500061";\N;\N;"0.0260000005";\N
"241";"1204";"12147";"2005-03-19";\N;"30";"250.41999817";\N;\N;"0.0142999999";\N
"242";"1204";"12147";"2005-03-19";\N;"35";"253.52000427";\N;\N;"0.0109000001";\N
"243";"1204";"12147";"2005-03-19";\N;"40";"244.27000427";\N;\N;"0.0105999997";\N
"244";"1207";"12147";"2005-08-25";"10:01:00";"0";\N;\N;\N;"0.057500001";\N
"245";"1207";"12147";"2005-08-25";"10:03:00";"1";\N;\N;\N;"0.0551999994";\N
"246";"1207";"12147";"2005-08-25";"10:05:00";"5";\N;\N;\N;"0.0568000004";\N
"247";"1207";"12147";"2005-08-25";"10:07:00";"10";\N;\N;\N;"0.0463999994";\N
"248";"1207";"12147";"2005-08-25";"10:10:00";"15";\N;\N;\N;"0.0507999994";\N
"249";"1207";"12147";"2005-08-25";"10:12:00";"20";\N;\N;\N;"0.0548";\N
"250";"1207";"12147";"2005-08-25";"10:14:00";"25";\N;\N;\N;"0.0666999966";\N
"251";"1207";"12147";"2005-08-25";"10:16:00";"30";\N;\N;\N;"0.0469000004";\N
"252";"1207";"12147";"2005-08-25";"10:18:00";"35";\N;\N;\N;"0.0606000014";\N
"253";"1207";"12147";"2005-08-25";"10:21:00";"40";\N;\N;\N;"0.0573999994";\N
"254";"1207";"12147";"2005-08-25";"10:24:00";"45";\N;\N;\N;"0.0593999997";\N
"255";"1207";"12147";"2005-08-25";"10:30:00";"50";\N;\N;\N;"0.0606000014";\N
"256";"1305";"13113";"2005-03-14";\N;"0";"96";"792";"1983";"0.648999989";"7325"
"257";"1305";"13113";"2005-03-14";\N;"0";\N;"2747";"109918";\N;\N
"258";"1305";"13113";"2005-03-14";\N;"0";\N;\N;"31539";"0.1889999956";\N
"259";"1305";"13114";"2005-03-16";\N;"0";"6";\N;\N;"0.0775000006";\N
"260";"1305";"13114";"2005-03-16";\N;"5";\N;\N;\N;"0.0507000014";\N
"261";"1305";"13114";"2005-03-16";\N;"10";"7";\N;\N;"0.0121999998";\N
"262";"1305";"13114";"2005-03-16";\N;"15";\N;\N;\N;"0.0152000003";\N
"263";"1305";"13114";"2005-03-16";\N;"20";"9";\N;\N;"0.0066999998";\N
"264";"1305";"13114";"2005-03-16";\N;"25";"10";\N;\N;"0.0092000002";\N
"265";"1305";"13114";"2005-03-16";\N;"30";"16";\N;\N;"0.0100999996";\N
"266";"1305";"13114";"2005-03-16";\N;"35";"23";\N;\N;"0.0097000003";\N
